state_id,disaster_id
1,4
1,3
2,7
2,19
2,18
2,17
2,13
3,7
3,19
3,20
4,4
4,7
4,3
5,18
5,17
5,13
6,7
6,19
6,20
7,3
7,20
8,20
8,3
9,4
9,13
9,3
10,3
10,4
11,4
11,3
12,7
12,19
12,3
12,18
12,17
12,13
13,7
13,19
13,20
14,4
14,7
15,4
16,4
17,4
18,4
18,13
18,7
18,3
19,4
19,3
20,3
20,20
21,3
21,20
24,4
25,3
25,20
26,4
27,4
27,7
27,3
28,4
28,7
29,7
29,19
29,20
30,4
31,7
31,19
31,20
32,20
32,3
33,3
33,20
34,7
34,19
34,20
35,20
35,3
36,4
36,3
37,4
37,19
38,4
39,4
39,7
39,3
40,7
40,19
40,18
40,17
40,13
41,3
41,20
42,20
42,3
43,4
43,7
43,3
44,4
44,19
45,4
45,7
45,3
46,4
46,3
47,7
47,19
47,20
48,20
48,3
49,4
49,13
49,3
50,7
50,19
50,18
50,17
50,13
51,4
51,13
51,3
52,4
53,7
53,19
53,20
