id,state,full_name
1,AL,Alabama
2,AK,Alaska
3,AZ,Arizona
4,AR,Arkansas
5,CA,California
6,CO,Colorado
7,CT,Connecticut
8,DE,Delaware
9,DC,District of Columbia
10,FL,Florida
11,GA,Georgia
12,HI,Hawaii
13,ID,Idaho
14,IL,Illinois
15,IN,Indiana
16,IA,Iowa
17,KS,Kansas
18,KY,Kentucky
19,LA,Louisiana
20,ME,Maine
21,MD,Maryland
24,MN,Minnesota
25,MA,Massachusetts
26,MI,Michigan
27,MS,Mississippi
28,MO,Missouri
29,MT,Montana
30,NE,Nebraska
31,NV,Nevada
32,NH,New Hampshire
33,NJ,New Jersey
34,NM,New Mexico
35,NY,New York
36,NC,North Carolina
37,ND,North Dakota
38,OH,Ohio
39,OK,Oklahoma
40,OR,Oregon
41,PA,Pennsylvania
42,RI,Rhode Island
43,SC,South Carolina
44,SD,South Dakota
45,TN,Tennessee
46,TX,Texas
47,UT,Utah
48,VT,Vermont
49,VA,Virginia
50,WA,Washington
51,WV,West Virginia
52,WI,Wisconsin
53,WY,Wyoming
